,id,nb_hop,reasoning,query_nl,supdoc1,supdoc2,supdoc3
4536,WH_dev_3257,0,,Ed esber is born on 1952,"Edward M. Esber , Jr. is the former CEO of Ashton - Tate and initiated its sale to Borland . Esber was fired from Ashton Tate over disagreements on strategy and acquisitions with the board . Esber presently works as an angel investor in Silicon Valley .","Borland Software Corporation is a software company that facilitates software deployment projects. Borland was first headquartered in Scotts Valley, California, then in Cupertino, California, and now in Austin, Texas. It is now a Micro Focus International subsidiary. It was founded in 1983 by Niels Jensen, Ole Henriksen, Mogens Glad and Philippe Kahn.","Philippe Kahn (born March 16, 1952) is a mathematician, technology innovator, entrepreneur and founder of four technology companies: Fullpower Technologies, LightSurf Technologies, Starfish Software and Borland. Kahn is credited with creating the first camera phone, being a pioneer for wearable technology intellectual property, and is the author of dozens of technology patents covering wearable, eyewear, smartphone, mobile, imaging, wireless, synchronization and medical technologies."
9562,WH_dev_2820,0,,Hms sidon is operated by Royal navy,"HMS Sidon was a first - class paddle frigate designed by Sir Charles Napier : her name commemorated his attack on the port of Sidon in 1840 during the Syrian War . Her keel was laid down on 26 May 1845 at Deptford Dockyard , and she was launched on 26 May 1846 . She had a fairly short career for a warship , but it included the rescue of the crew of the sinking Peninsular & Oriental Steam Navigation vessel Ariel on 28 May 1848 , and a trip up the Nile that same year , when her passengers included the explorer and botanist Joseph Dalton Hooker . She served in the Black Sea during the Crimean War , 1854 - 55 under the command of Captain George Goldsmith . In April 1854 , in company with HMS Firebrand ( Captain William Houston Stewart ) , she blockaded the coast from Kavarna to the mouths of the River Danube . In September , during the actual Allied invasion of the Crimea , she was assigned to escorting the French troop transports , and assisted the French line - of - battleship Algiers , which had gone aground in Eupatoria Bay . She was then sent to monitor Russian movements around Odessa , and on 4 October attacked a marching column of 12,000 men on their way to the Crimea . On this occasion she was hit in the funnel by a Russian rocket . She was sold for breaking up on 15 July 1864 to Castle and Beech .","Admiral Sir William Houston Stewart, (7 September 1822 – 13 November 1901) was a British naval officer who was Controller of the Royal Navy from 1872 to 1881.",None
4302,WH_dev_3236,0,,Jason bond is educated at Virginia polytechnic institute and state university,"Jason E. Bond is a professor of biology and director of the Biodiversity Learning Center at Auburn University . When he was an associate professor with the Department of Biology at East Carolina University , he discovered the trapdoor spider Myrmekiaphila neilyoungi and numerous other species in the genus Aptostichus . He went to undergraduate school at Western Carolina University , majoring in biology in 1993 . He then went to receive his M.S. in Biology ( 1995 ) and Ph.D. in Evolutionary Systematics and Genetics ( 1999 ) from Virginia Tech. On August 6 , 2008 , Bond appeared on The Colbert Report , where he named the spider Aptostichus stephencolberti after host Stephen Colbert .","Virginia Polytechnic Institute and State University, popularly known as Virginia Tech, is a public, land-grant, research university with a main campus in Blacksburg, Virginia, educational facilities in six regions statewide, and a study-abroad site in Switzerland. Through its Corps of Cadets ROTC program, Virginia Tech is also designated as a one of six senior military colleges in the country. As the commonwealth's third-largest university, Virginia Tech offers 225 undergraduate and graduate degree programs to some 30,600 students and manages a research portfolio of $513 million, the largest of any university in Virginia. The university fulfills its land-grant mission of transforming knowledge to practice through technological leadership and by fueling economic growth and job creation locally, regionally, and across Virginia.",None
2392,WH_dev_211,0,,Prithvi of nepal is born in Kathmandu,"Prithvi Bir Bikram Shah ( Nepali : पृथ्वी बीर विक्रम शाह ) ( 18 August 1875 -- 11 December 1911 ) was King of Nepal from 1881 until 1911 . Among the most notable events of his reign were the introduction of the first automobiles to Nepal , and the creation of strict water and sanitation systems for much of the country . King Prithvi 's eldest child was Princess Royal Lakshmi Rajya Laxmi Devi , who was married to Field Marshal Kaiser Shamsher Jang Bahadur Rana . She was made the Crown Princess and was heir to Nepal 's throne until she was in her late teens , when her brother King Tribhuvan Bir Bikram Shah Dev was born . Until then King Prithvi only had four daughters and four from another wife .","Nepal, officially the Federal Democratic Republic of Nepal, is a landlocked central Himalayan country in South Asia. It has a population of 26.4 million and is the 93rd largest country by area. Bordering China in the north and India in the south, east, and west, it is the largest sovereign Himalayan state. Nepal does not border Bangladesh, which is located within only 27 km (17 mi) of its southeastern tip. It neither borders Bhutan due to the Indian state of Sikkim being located in between. Nepal has a diverse geography, including fertile plains, subalpine forested hills, and eight of the world's ten tallest mountains, including Mount Everest, the highest point on Earth. Kathmandu is the nation's capital and largest city. It is a multiethnic nation with Nepali as the official language.",None
7620,WH_dev_2392,0,,Burn is released by Nothing records,"`` Burn '' is a promotional single by industrial rock band Nine Inch Nails released from the Natural Born Killers soundtrack . Because this is a promo - only single , it has never been featured with its own official halo . It was included as a bonus track on the tenth anniversary Deluxe Edition of The Downward Spiral , and also has its own video ( directed by Hank Corwin and Trent Reznor ) . A live performance of the song is featured on Woodstock ' 94 , KROQ Christmas 2005 and the DVD Beside You In Time","Nine Inch Nails (abbreviated as NIN and stylized as NIИ) is an American industrial rock band founded in 1988 by Trent Reznor in Cleveland, Ohio. The band released two influential albums during the 1990s – ""The Downward Spiral"" (1994) and ""The Fragile"" (1999) and has record sales exceeding over 20 million copies worldwide, with 10 million sales certified in the United States alone.","The Downward Spiral is the second studio album by American industrial rock band Nine Inch Nails, released on March 8, 1994 by Nothing Records and Interscope Records in the United States and by Island Records in Europe. It is a concept album detailing the destruction of a man from the beginning of his ""downward spiral"" to his attempt at suicide. ""The Downward Spiral"" features elements of industrial rock, techno and heavy metal music, in contrast to the band's synthpop-influenced debut album ""Pretty Hate Machine"" (1989), and was produced by Nine Inch Nails frontman Trent Reznor and Flood."
9648,WH_dev_1414,0,,"Edward grigg, 1st baron altrincham is dead in Tormarton","Edward William Macleay Grigg , 1st Baron Altrincham KCMG KCVO DSO MC PC ( 8 September 1879 -- 1 December 1955 ) was a British colonial administrator and politician .","Baron Altrincham, of Tormarton in the County of Gloucester, is a title in the Peerage of the United Kingdom. It was created on 1 August 1945 for the politician Edward Grigg. His son, the second Baron, was a politician, journalist, historian and writer. Soon after the passage of the Peerage Act 1963 on 31 July 1963, he disclaimed the title for life. the title is held by his younger brother, who succeeded to the disclaimed peerage in 2001.",None
428,WH_dev_3761,0,,Little nightjar belongs to Caprimulgus,"The little nightjar ( Setopagis parvula ) is a species of nightjar in the Caprimulgidae family . It is found in woodland and other semi-open habitats in eastern , central and southern Brazil , eastern Peru , eastern and northern Bolivia , Paraguay , Uruguay and northern Argentina . It is fairly common in most of its range . It has sometimes included the Todd 's nightjar ( S. heterura ) of northern South America as a subspecies . The two are visually very similar , but vocally distinctive .","Nightjars are medium-sized nocturnal or crepuscular birds in the family Caprimulgidae, characterized by long wings, short legs and very short bills. They are sometimes called goatsuckers, due to the ancient folk tale that they sucked the milk from goats (the Latin for goatsucker is ""Caprimulgus""). Some New World species are called nighthawks. Nightjars usually nest on the ground.",None
9785,WH_dev_1206,0,,Midnight menace's distributor is Ealing studios,"Midnight Menace is a 1937 British thriller film directed by Sinclair Hill and starring Charles Farrell , Margaret Vyner , Fritz Kortner and Danny Green . An international arms manufacturing firm plans to start a war in Europe by bombing London . It was released in the United States as Bombs Over London . Its original script was written by Alexander Mackendrick .","Alexander Mackendrick (September 8, 1912 – December 22, 1993) was an American born Scottish director and teacher. He was born in Boston, Massachusetts and later moved to Scotland. He began making television commercials before moving into post-production editing and directing films, most notably for Ealing Studios where his films include ""Whisky Galore!"" (1949), ""The Man in the White Suit"" (1951), and ""The Ladykillers"" (1955).",None
4106,WH_dev_804,0,,Superbit is an instance of Trademark,"Superbit was a brand of premium DVD - Video versions of motion pictures from Columbia TriStar Home Entertainment , a division of Sony Pictures Entertainment . Superbit DVDs aimed to improve picture quality over a standard DVD edition of a feature by increasing the bit rate of the encoded video . Audio quality was also improved by the mandatory inclusion of both Dolby Digital and DTS 5.1 surround audio tracks .","Dolby Digital is the name for audio compression technologies developed by Dolby Laboratories. It was originally named Dolby Stereo Digital until 1994. Except for Dolby TrueHD, the audio compression is lossy. The first use of Dolby Digital was to provide digital sound in cinemas from 35mm film prints. It is now also used for other applications such as TV broadcast, DVDs, Blu-ray Discs and game consoles.",Dolby Stereo is Dolby Laboratories' trademark for its various stereo sound formats.
6818,WH_dev_4581,0,,Roger miret is born in Havana,"Roger Miret ( born June 30 , 1964 ) is the vocalist for New York Hardcore band Agnostic Front , the street punk group Roger Miret and the Disasters , and the hardcore band The Alligators . He was born in Cuba . Agnostic Front is considered to be one of the bands that created New York hardcore . Miret was incarcerated on a drug charge in the late 1980s . He is also the older half - brother of Madball spearhead , Freddy Cricien .","Roger Miret and the Disasters are a street punk group formed by Agnostic Front frontman Roger Miret. The band started when Miret was writing songs that were not a style suitable for Lady Luck (a band fronted by his wife Denise) or Agnostic Front, so he starting recording them on his own on a Boss recorder. Johnny Rioux had previously mentioned he would like to work with him, so Rioux helped Miret on what originally started as a solo project. Then Miret met Rhys Kill, who liked the material and joined in on the project. The band then recorded a demo tape, with Miret and Kill on guitar, Rioux on bass and Matt Kelly from the Dropkick Murphys on drums. That six-song demo found reviewed by Lars Frederiksen, who passed it off to his Rancid bandmate Tim Armstrong. He asked Miret to put his project out on Hellcat Records. As Kelly could not continue with Miret due to his commitments with Dropkick Murphys, Miret asked Johnny Kray of The Krays and New York Rel-X to join on drums. After a couple rehearsals, they decided to make it a band.","Roger Miret (born June 30, 1964) is the vocalist for New York Hardcore band Agnostic Front, the street punk group Roger Miret and the Disasters, and the hardcore band The Alligators. He was born in Havana, Cuba."
4443,WH_dev_2641,0,,Dd national's headquarter is located in New delhi,"DD National ( DD1 ) is a state - owned general interest terrestrial television channel in India . It is the flagship channel of Doordarshan , the Indian public service broadcasting corporation , and the most widely available terrestrial television channel in India . DD National is government body but it has editorial independence .","Doordarshan (Hindi: दूरदर्शन, often abbreviated DD) is an autonomous Government of India founded public service broadcaster and a division of Prasar Bharati. It is one of India's largest broadcasting organisations in terms of studio and transmitter infrastructure, having been established on 15 September 1959. Recently, it has also started broadcasting on digital terrestrial transmitters. DD provides television, radio, online and mobile services throughout metropolitan and regional India, as well as overseas, through the Indian Network and Radio India.","The Government of India (GoI) is a federal government established by the Constitution of India as the constituted governing authority of the union of 29 states and seven union territories of a proclaimed and established parliamentary democratic republic, constitutionally called the Republic of India. It is located in New Delhi, the capital of India."
8601,WH_dev_3953,0,,Moniek kleinsman is a citizen of Netherlands,"Moniek Kleinsman ( born 3 November 1982 ) is a Dutch speed skater who was born in Bentelo , Overijssel , and currently resides in Wolvega . She competed at the 2006 Winter Olympics . Kleinsman got her first speed skating lessons at the age of four . A few years later , when she was getting more serious into the sport she was mainly focussing on short track speed skating , just like her brother . However , at the age of twelve she decided to concentrate on long track speed skating instead . After competing among the seniors for a few years her breakthrough came in the 2004 -- 05 season , when she won the Dutch national allround championships . That season she appeared on World Cup meets , became 7th at the European allround championships , followed by an eighth position at the World allround championships . Finally , at the KNSB Dutch Single Distance Championships she won two bronze medals over 3000 and 5000 metres . On 28 December 2005 Kleinsman qualified herself for the 2006 Winter Olympics in Turin at the 3000 metres . It was the third time behind Ireen Wüst and Renate Groenewold . A second try to qualify for the race over 5000 metres fails as she became fourth , however she skated a personal best time that day . Prior to the 2006 Winter Olympics Kleinsman became under pressure by the Dutch media as it was unsure whether 2002 Winter Olympics silver medalist Gretha Smit could participate at the Olympic 5000 metres race . Smit finished third at the Dutch qualifying competition where only the first and second rider automatically qualified . The third spot had to be won during the Olympic 3000 metres race . To accomplish this three Dutch riders had to finish among the first 16 riders on the distance . Ireen Wüst and Renate Groenewold were expected to do this and indeed reached their goal with Wüst even winning the gold medal . Kleinsman was expected to reach the first 16 as well , but there were some doubts by analysts and the pressure on Kleinsman rose . In the end Kleinsman under performed in her race , finishing in 17th position behind Anna Rokita who skated almost a second faster . As a result , Smit was unable to start at the 5000 metres and Kleinsman got under fire by the media again . Her reaction was that she felt sorry for Smit , but that it was not her problem . She did all she could , but was unable to skate faster . She said people should not blame her , if Smit wanted to race in Turin she had to skate faster at the qualifying tournament . Later during the Games she also skated in the pursuit team , where Smit also participated in . Kleinsman was unable to follow the team as soon as the half way mark was passed and the other members had to slow their speed . In the elimination rounds the Dutch faced high favourites Germany and were eliminated . Unless her words the pressure remained and she had a hard time during her preparations for the next season . She was unable to get back to her good form she constantly had before the Turin incident and did not qualify for any of the major tournaments in the season like the World Cups , continental and world championships . However , besides her speed skating she still studies nursing in Enschede and therefore was eligible to qualify for the 2007 Winter Universiade , which were also held in Turin . Kleinsman succeeded in the qualification program and was determined for another chance in Turin and to close the subject that resulted in her bad period . At the 1500 metres she did well among the top skaters and finished in a third position , which was good for a bronze medal . She also won a silver medal over 5000 metres and a gold in the team pursuit alongside Janneke Ensing and Diane Valkenburg .","Bentelo (Low German: ""Beantel"") is a small farming village in the Dutch municipality Hof van Twente. The village had 2110 inhabitants in 2006.","Hof van Twente is a municipality in the eastern Netherlands, province Overijssel. The municipality was established 1 January 2001 as the result of the merger of the municipalities of Diepenheim, Goor, Markelo, Ambt Delden, and Stad Delden."
446,WH_dev_4056,0,,Skuta is in Slovenia,"Skuta ( pronounced ( ˈskuːta ) ) is the third - highest peak in the Kamnik Alps and is known for its glacier , which is the easternmost in the Alps .","The Alps are the highest and most extensive mountain range system that lies entirely in Europe, stretching approximately across eight Alpine countries: Austria, France, Germany, Italy, Liechtenstein, Monaco, Slovenia, and Switzerland. The mountains were formed over tens of millions of years as the African and Eurasian tectonic plates collided. Extreme shortening caused by the event resulted in marine sedimentary rocks rising by thrusting and folding into high mountain peaks such as Mont Blanc and the Matterhorn. Mont Blanc spans the French–Italian border, and at is the highest mountain in the Alps. The Alpine region area contains about a hundred peaks higher than 4000 metres (just over 13,000 feet).",None
